probe,log2FC,pval,padj,-log10padj,significance
ILMN_22413,-22.853304184704484,0.8595191398320602,0.9250650000189129,0.03382775033367154,Not significant
ILMN_17679,7.4908698412695,0.8615918754918888,0.9261797817983386,0.03330470374512076,Not significant
ILMN_26798,-18.34900202020208,0.8617852153827477,0.926194214778786,0.03329793603646424,Not significant
ILMN_24083,-9.658559018758638,0.8626662423718832,0.9267146321760731,0.0330539797185453,Not significant
ILMN_139393,15.670843290043308,0.86268274558161,0.9267146321760731,0.0330539797185453,Not significant
ILMN_2503,38.18645829726211,0.8628094856293548,0.9267146321760731,0.0330539797185453,Not significant
ILMN_137650,41.116879076477744,0.8631615358610407,0.9268993714252477,0.03296741235703718,Not significant
ILMN_26408,-8.311329292929258,0.8640832858946402,0.9276956737821914,0.032594468687536016,Not significant
ILMN_18139,24.805939393940662,0.8650573022451357,0.9285477464466135,0.03219575968385963,Not significant
ILMN_14323,-36.796183261180886,0.8671243853436292,0.9304273860532978,0.03131751513602539,Not significant
ILMN_9197,-18.160651370851042,0.8675486820874503,0.9304273860532978,0.03131751513602539,Not significant
ILMN_4161,-37.16877604617548,0.8678928336884103,0.9304273860532978,0.03131751513602539,Not significant
ILMN_18942,-7.850324098123792,0.8677979302921555,0.9304273860532978,0.03131751513602539,Not significant
ILMN_6269,76.22975959595988,0.8675859889609123,0.9304273860532978,0.03131751513602539,Not significant
ILMN_15293,-9.393604906205155,0.8675447637281194,0.9304273860532978,0.03131751513602539,Not significant
ILMN_2298,7.273207792206449,0.8685574128606939,0.9307906031507832,0.031148009807699203,Not significant
ILMN_25698,14.140379797980017,0.8685932512696897,0.9307906031507832,0.031148009807699203,Not significant
ILMN_19541,-169.09560923520985,0.8692409222131003,0.9312907944959501,0.03091468988237142,Not significant
ILMN_1122,-15.188991053390055,0.8696088332196102,0.9313691859037863,0.030878134680423434,Not significant
ILMN_1091,9.967730158729978,0.8703996024442726,0.9313691859037863,0.030878134680423434,Not significant
ILMN_7786,87.67689956710456,0.8702164636908902,0.9313691859037863,0.030878134680423434,Not significant
ILMN_16775,-45.23373881673888,0.8700527433817782,0.9313691859037863,0.030878134680423434,Not significant
ILMN_11215,-16.821634054834135,0.8702841729937001,0.9313691859037863,0.030878134680423434,Not significant
ILMN_2448,81.76633593073893,0.8703729310788413,0.9313691859037863,0.030878134680423434,Not significant
ILMN_12952,-11.36263520923535,0.8707839084481762,0.9315867748734853,0.03077668548754656,Not significant
ILMN_26010,26.811334199135217,0.8711852499812249,0.9318224946817673,0.030666809665599364,Not significant
ILMN_2227,129.93072727272556,0.8715825291052491,0.9320537722961826,0.0305590314895226,Not significant
ILMN_1610,18.33800865800839,0.8722616804828793,0.9322314992542868,0.030476226740054443,Not significant
ILMN_26679,8.749630014430068,0.8724450182405414,0.9322314992542868,0.030476226740054443,Not significant
ILMN_25028,-333.2557316017446,0.8726497990560338,0.9322314992542868,0.030476226740054443,Not significant
ILMN_13493,12.654239826840126,0.872835242114542,0.9322314992542868,0.030476226740054443,Not significant
ILMN_19776,-26.495212698412615,0.8727396638232223,0.9322314992542868,0.030476226740054443,Not significant
ILMN_24700,-13.59386522366458,0.8725766699426495,0.9322314992542868,0.030476226740054443,Not significant
ILMN_4560,-26.104248196248136,0.8732640653415241,0.9324960399042037,0.030353003863943986,Not significant
ILMN_27170,-13.381485714284281,0.8746787222558557,0.9326898307404795,0.030262758390326123,Not significant
ILMN_6709,13.630079653679331,0.8752047918277648,0.9326898307404795,0.030262758390326123,Not significant
ILMN_23848,9.777276190476186,0.8736289735826492,0.9326898307404795,0.030262758390326123,Not significant
ILMN_24976,-11.986053968253827,0.8749186769073714,0.9326898307404795,0.030262758390326123,Not significant
ILMN_7276,26.066828282828965,0.8746389688174272,0.9326898307404795,0.030262758390326123,Not significant
ILMN_29380,7.556503030302565,0.8740910815865048,0.9326898307404795,0.030262758390326123,Not significant
ILMN_9515,13.08040317460302,0.8752572984279829,0.9326898307404795,0.030262758390326123,Not significant
ILMN_26269,-10.276018181818927,0.8743911877798642,0.9326898307404795,0.030262758390326123,Not significant
ILMN_138248,74.63557229437265,0.8745722320488869,0.9326898307404795,0.030262758390326123,Not significant
ILMN_988,18.432125252524997,0.8752460666181386,0.9326898307404795,0.030262758390326123,Not significant
ILMN_6194,7.691724386724218,0.876391413343842,0.9334521473492052,0.029907940890976974,Not significant
ILMN_17834,-6.553231457431565,0.8764864851161884,0.9334521473492052,0.029907940890976974,Not significant
ILMN_10522,-5.998687445887413,0.8765166434122101,0.9334521473492052,0.029907940890976974,Not significant
ILMN_19267,-10.863567099566922,0.8771668310208587,0.9339513642389619,0.029675739179548646,Not significant
ILMN_17049,-6.259460606060657,0.8778148624879575,0.9344480794226644,0.029444824244122484,Not significant
ILMN_26680,-10.990934487734307,0.8782685062453974,0.9345517828258951,0.029396629681101242,Not significant
ILMN_24878,9.687058008657914,0.8782753545671486,0.9345517828258951,0.029396629681101242,Not significant
ILMN_11230,66.0406340548343,0.8788717198148146,0.9348127459422273,0.029275374740830976,Not significant
ILMN_10710,-17.837308802308144,0.8790653657937689,0.9348127459422273,0.029275374740830976,Not significant
ILMN_5694,-121.38860230880073,0.878891129704324,0.9348127459422273,0.029275374740830976,Not significant
ILMN_27395,62.9299786435804,0.8795366553389337,0.9351207562339593,0.029132303159811947,Not significant
ILMN_15632,10.335453391053193,0.8804017540120076,0.9353724486276894,0.029015426372331905,Not significant
ILMN_14811,-23.646011544011344,0.8805001721153425,0.9353724486276894,0.029015426372331905,Not significant
