probe,log2FC,pval,padj,-log10padj,significance
208109_s_at,-0.9855979856009736,1.589606639208253e-07,4.922843914964192e-06,5.307783933868597,Downregulated
209773_s_at,1.1041416622049827,1.6244390500413627e-07,4.99966240957175e-06,5.30105931938596,Upregulated
214742_at,-1.1965477511570262,1.65629239125089e-07,5.066425682685238e-06,5.295298323452984,Downregulated
202503_s_at,0.9634049425996398,1.9269508722820687e-07,5.858400639755119e-06,5.232220931444928,Upregulated
206464_at,1.725849920768984,1.9683654542270578e-07,5.948042518046127e-06,5.225625935697021,Upregulated
232629_at,1.5854752200144286,2.0425241375783576e-07,6.134955030099815e-06,5.212188616351986,Upregulated
209906_at,1.252263644964632,2.1502697451334429e-07,6.419907155230746e-06,5.1924712526573975,Upregulated
229967_at,1.558072182084187,2.2169403945037693e-07,6.579562385116544e-06,5.181802990892017,Upregulated
218963_s_at,2.0819824898455384,2.2427763790111645e-07,6.616853861390335e-06,5.179348456998029,Upregulated
218400_at,1.1855301216685685,2.3277191454110505e-07,6.827063328834999e-06,5.165766068550692,Upregulated
212695_at,-1.2089533351425779,2.4702861707303544e-07,7.202834413603243e-06,5.142496569130709,Downregulated
244640_at,-0.9792104198699683,2.5213770187996993e-07,7.309061520776338e-06,5.136138382619893,Downregulated
219519_s_at,3.505939744255304,2.927146557807519e-07,8.436273258513461e-06,5.0738493615140445,Upregulated
238962_at,-1.2470322029456575,3.0620901019709313e-07,8.774471981854634e-06,5.0567790084537565,Downregulated
204749_at,-0.9045036603865091,3.265359580772594e-07,9.303475925561231e-06,5.031354761848749,Downregulated
209156_s_at,-1.0598477821432546,3.465681607529262e-07,9.81811846314824e-06,5.00797173210769,Downregulated
232378_at,1.3722367908868423,3.6177209169736234e-07,1.0190935871203664e-05,4.991785931299134,Upregulated
209396_s_at,3.207110143206946,4.147159414334053e-07,1.1540915547641418e-05,4.937759736976079,Upregulated
213201_s_at,1.9133877561299482,4.1663955045636887e-07,1.1540915547641418e-05,4.937759736976079,Upregulated
212298_at,-1.7529329109372016,4.1221842682225086e-07,1.1540915547641418e-05,4.937759736976079,Downregulated
235165_at,-1.31593643888856,4.303602403621826e-07,1.185511689749084e-05,4.926094159299887,Downregulated
220646_s_at,-1.0108750398512463,4.365515424143954e-07,1.195959335427569e-05,4.9222835868188906,Downregulated
231914_at,1.7289802478246843,4.405511951497939e-07,1.2003214530146845e-05,4.920702431806332,Upregulated
231798_at,-1.2466102064360722,4.563984303853742e-07,1.2367405292942804e-05,4.907721406689257,Downregulated
